Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,EUC_P_1_
Sample ID
Option
Analyst
Date/Time:,04/26/2023 01:18:47 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,1.211
201.0,1.202
202.0,1.211
203.0,1.204
204.0,1.227
205.0,1.230
206.0,1.236
207.0,1.242
208.0,1.250
209.0,1.269
210.0,1.282
211.0,1.261
212.0,1.307
213.0,1.327
214.0,1.311
215.0,1.344
216.0,1.343
217.0,1.345
218.0,1.381
219.0,1.379
220.0,1.399
221.0,1.436
222.0,1.522
223.0,1.665
224.0,1.976
225.0,2.415
226.0,2.795
227.0,3.164
228.0,3.470
229.0,3.741
230.0,3.977
231.0,4.172
232.0,4.364
233.0,4.497
234.0,4.635
235.0,4.667
236.0,4.838
237.0,4.801
238.0,4.972
239.0,4.948
240.0,5.027
241.0,5.232
242.0,5.521
243.0,4.947
244.0,5.165
245.0,5.412
246.0,5.174
247.0,4.880
248.0,5.126
249.0,5.071
250.0,5.172
251.0,5.317
252.0,5.285
253.0,5.277
254.0,5.233
255.0,5.267
256.0,5.119
257.0,4.950
258.0,5.101
259.0,5.108
260.0,5.522
261.0,5.303
262.0,5.283
263.0,5.276
264.0,5.136
265.0,5.075
266.0,5.081
267.0,5.140
268.0,5.151
269.0,5.186
270.0,5.144
271.0,5.222
272.0,5.100
273.0,5.064
274.0,5.186
275.0,5.048
276.0,5.180
277.0,5.251
278.0,5.411
279.0,5.289
280.0,5.208
281.0,5.048
282.0,5.127
283.0,5.208
284.0,5.175
285.0,5.132
286.0,5.012
287.0,5.218
288.0,5.135
289.0,5.060
290.0,4.981
291.0,4.990
292.0,5.068
293.0,5.130
294.0,5.143
295.0,5.102
296.0,5.060
297.0,4.955
298.0,5.001
299.0,4.990
300.0,4.926
301.0,5.262
302.0,4.990
303.0,4.985
304.0,5.072
305.0,5.006
306.0,10.000
307.0,6.341
308.0,10.000
309.0,6.346
310.0,10.000
311.0,10.000
312.0,10.000
313.0,10.000
314.0,10.000
315.0,10.000
316.0,10.000
317.0,10.000
318.0,6.169
319.0,10.000
320.0,5.807
321.0,10.000
322.0,10.000
323.0,10.000
324.0,5.492
325.0,5.908
326.0,10.000
327.0,10.000
328.0,5.477
329.0,6.507
330.0,5.681
331.0,5.679
332.0,10.000
333.0,6.846
334.0,10.000
335.0,10.000
336.0,5.580
337.0,6.157
338.0,10.000
339.0,5.036
340.0,5.314
341.0,5.248
342.0,5.445
343.0,5.333
344.0,5.309
345.0,5.281
346.0,5.399
347.0,5.071
348.0,5.305
349.0,5.257
350.0,5.054
351.0,5.076
352.0,4.926
353.0,5.011
354.0,4.747
355.0,4.809
356.0,4.673
357.0,4.719
358.0,4.610
359.0,4.503
360.0,4.504
361.0,4.407
362.0,4.361
363.0,4.295
364.0,4.235
365.0,4.129
366.0,4.080
367.0,4.022
368.0,3.950
369.0,3.877
370.0,3.807
371.0,3.747
372.0,3.679
373.0,3.601
374.0,3.539
375.0,3.475
376.0,3.415
377.0,3.356
378.0,3.296
379.0,3.233
380.0,3.174
381.0,3.116
382.0,3.058
383.0,3.003
384.0,2.952
385.0,2.896
386.0,2.845
387.0,2.794
388.0,2.746
389.0,2.698
390.0,2.654
391.0,2.610
392.0,2.568
393.0,2.528
394.0,2.489
395.0,2.451
396.0,2.414
397.0,2.379
398.0,2.344
399.0,2.311
400.0,2.278
401.0,2.245
402.0,2.213
403.0,2.181
404.0,2.151
405.0,2.122
406.0,2.093
407.0,2.064
408.0,2.037
409.0,2.008
410.0,1.980
411.0,1.953
412.0,1.927
413.0,1.900
414.0,1.875
415.0,1.849
416.0,1.824
417.0,1.799
418.0,1.775
419.0,1.751
420.0,1.727
421.0,1.704
422.0,1.681
423.0,1.659
424.0,1.637
425.0,1.614
426.0,1.591
427.0,1.569
428.0,1.547
429.0,1.525
430.0,1.504
431.0,1.484
432.0,1.464
433.0,1.444
434.0,1.425
435.0,1.406
436.0,1.389
437.0,1.371
438.0,1.355
439.0,1.339
440.0,1.324
441.0,1.309
442.0,1.296
443.0,1.282
444.0,1.270
445.0,1.258
446.0,1.245
447.0,1.234
448.0,1.223
449.0,1.213
450.0,1.202
451.0,1.193
452.0,1.183
453.0,1.174
454.0,1.165
455.0,1.156
456.0,1.147
457.0,1.139
458.0,1.130
459.0,1.122
460.0,1.114
461.0,1.105
462.0,1.097
463.0,1.089
464.0,1.080
465.0,1.072
466.0,1.064
467.0,1.055
468.0,1.047
469.0,1.038
470.0,1.030
471.0,1.021
472.0,1.012
473.0,1.002
474.0,0.993
475.0,0.984
476.0,0.974
477.0,0.965
478.0,0.956
479.0,0.946
480.0,0.936
481.0,0.926
482.0,0.916
483.0,0.906
484.0,0.896
485.0,0.887
486.0,0.877
487.0,0.868
488.0,0.858
489.0,0.849
490.0,0.840
491.0,0.830
492.0,0.821
493.0,0.812
494.0,0.803
495.0,0.795
496.0,0.786
497.0,0.777
498.0,0.769
499.0,0.761
500.0,0.753
501.0,0.744
502.0,0.737
503.0,0.729
504.0,0.721
505.0,0.713
506.0,0.706
507.0,0.698
508.0,0.691
509.0,0.684
510.0,0.678
511.0,0.671
512.0,0.664
513.0,0.657
514.0,0.651
515.0,0.644
516.0,0.638
517.0,0.632
518.0,0.625
519.0,0.619
520.0,0.612
521.0,0.606
522.0,0.600
523.0,0.593
524.0,0.587
525.0,0.580
526.0,0.575
527.0,0.569
528.0,0.563
529.0,0.557
530.0,0.551
531.0,0.545
532.0,0.539
533.0,0.534
534.0,0.528
535.0,0.523
536.0,0.517
537.0,0.511
538.0,0.506
539.0,0.501
540.0,0.495
541.0,0.490
542.0,0.485
543.0,0.480
544.0,0.475
545.0,0.470
546.0,0.465
547.0,0.460
548.0,0.455
549.0,0.450
550.0,0.445
551.0,0.441
552.0,0.436
553.0,0.432
554.0,0.428
555.0,0.423
556.0,0.419
557.0,0.415
558.0,0.411
559.0,0.407
560.0,0.403
561.0,0.399
562.0,0.395
563.0,0.391
564.0,0.387
565.0,0.383
566.0,0.380
567.0,0.376
568.0,0.372
569.0,0.368
570.0,0.365
571.0,0.361
572.0,0.358
573.0,0.354
574.0,0.351
575.0,0.347
576.0,0.344
577.0,0.341
578.0,0.338
579.0,0.335
580.0,0.331
581.0,0.328
582.0,0.325
583.0,0.322
584.0,0.319
585.0,0.316
586.0,0.313
587.0,0.310
588.0,0.308
589.0,0.305
590.0,0.302
591.0,0.299
592.0,0.296
593.0,0.293
594.0,0.291
595.0,0.288
596.0,0.286
597.0,0.283
598.0,0.280
599.0,0.278
600.0,0.275
601.0,0.273
602.0,0.270
603.0,0.268
604.0,0.265
605.0,0.263
606.0,0.261
607.0,0.258
608.0,0.256
609.0,0.254
610.0,0.251
611.0,0.249
612.0,0.247
613.0,0.244
614.0,0.242
615.0,0.240
616.0,0.238
617.0,0.235
618.0,0.233
619.0,0.231
620.0,0.229
