Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,EUC_P_1_2_
Sample ID
Option
Analyst
Date/Time:,04/26/2023 01:22:19 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.906
201.0,0.918
202.0,0.919
203.0,0.933
204.0,0.953
205.0,0.938
206.0,0.965
207.0,0.970
208.0,0.986
209.0,0.973
210.0,0.998
211.0,1.003
212.0,1.023
213.0,1.020
214.0,1.038
215.0,1.050
216.0,1.056
217.0,1.083
218.0,1.107
219.0,1.116
220.0,1.143
221.0,1.170
222.0,1.231
223.0,1.394
224.0,1.711
225.0,2.110
226.0,2.511
227.0,2.875
228.0,3.178
229.0,3.425
230.0,3.619
231.0,3.783
232.0,3.871
233.0,3.936
234.0,3.952
235.0,3.952
236.0,3.949
237.0,3.919
238.0,3.884
239.0,3.849
240.0,3.817
241.0,3.767
242.0,3.722
243.0,3.687
244.0,3.640
245.0,3.593
246.0,3.554
247.0,3.508
248.0,3.468
249.0,3.429
250.0,3.390
251.0,3.354
252.0,3.315
253.0,3.282
254.0,3.248
255.0,3.219
256.0,3.186
257.0,3.158
258.0,3.129
259.0,3.101
260.0,3.074
261.0,3.045
262.0,3.016
263.0,2.994
264.0,2.966
265.0,2.942
266.0,2.917
267.0,2.892
268.0,2.869
269.0,2.844
270.0,2.819
271.0,2.793
272.0,2.769
273.0,2.745
274.0,2.725
275.0,2.700
276.0,2.675
277.0,2.652
278.0,2.630
279.0,2.605
280.0,2.585
281.0,2.563
282.0,2.544
283.0,2.521
284.0,2.499
285.0,2.479
286.0,2.455
287.0,2.432
288.0,2.411
289.0,2.389
290.0,2.367
291.0,2.347
292.0,2.326
293.0,2.305
294.0,2.285
295.0,2.265
296.0,2.245
297.0,2.225
298.0,2.205
299.0,2.186
300.0,2.167
301.0,2.149
302.0,2.128
303.0,2.109
304.0,2.089
305.0,2.070
306.0,2.054
307.0,2.032
308.0,2.012
309.0,1.992
310.0,1.971
311.0,1.951
312.0,1.931
313.0,1.911
314.0,1.891
315.0,1.870
316.0,1.850
317.0,1.829
318.0,1.807
319.0,1.788
320.0,1.767
321.0,1.748
322.0,1.729
323.0,1.709
324.0,1.696
325.0,1.677
326.0,1.659
327.0,1.640
328.0,1.624
329.0,1.608
330.0,1.591
331.0,1.575
332.0,1.558
333.0,1.541
334.0,1.525
335.0,1.510
336.0,1.493
337.0,1.477
338.0,1.463
339.0,1.447
340.0,1.431
341.0,1.416
342.0,1.401
343.0,1.386
344.0,1.372
345.0,1.358
346.0,1.343
347.0,1.329
348.0,1.314
349.0,1.300
350.0,1.286
351.0,1.272
352.0,1.257
353.0,1.242
354.0,1.227
355.0,1.212
356.0,1.196
357.0,1.180
358.0,1.165
359.0,1.149
360.0,1.133
361.0,1.116
362.0,1.100
363.0,1.083
364.0,1.066
365.0,1.049
366.0,1.031
367.0,1.014
368.0,0.997
369.0,0.979
370.0,0.962
371.0,0.946
372.0,0.928
373.0,0.910
374.0,0.894
375.0,0.878
376.0,0.862
377.0,0.846
378.0,0.831
379.0,0.815
380.0,0.800
381.0,0.785
382.0,0.769
383.0,0.755
384.0,0.742
385.0,0.728
386.0,0.715
387.0,0.702
388.0,0.689
389.0,0.677
390.0,0.665
391.0,0.654
392.0,0.644
393.0,0.633
394.0,0.624
395.0,0.614
396.0,0.605
397.0,0.596
398.0,0.587
399.0,0.578
400.0,0.570
401.0,0.562
402.0,0.553
403.0,0.545
404.0,0.538
405.0,0.530
406.0,0.523
407.0,0.516
408.0,0.508
409.0,0.501
410.0,0.494
411.0,0.488
412.0,0.481
413.0,0.474
414.0,0.467
415.0,0.461
416.0,0.455
417.0,0.449
418.0,0.442
419.0,0.436
420.0,0.430
421.0,0.424
422.0,0.419
423.0,0.413
424.0,0.407
425.0,0.402
426.0,0.396
427.0,0.390
428.0,0.385
429.0,0.379
430.0,0.374
431.0,0.369
432.0,0.364
433.0,0.359
434.0,0.354
435.0,0.349
436.0,0.345
437.0,0.340
438.0,0.336
439.0,0.332
440.0,0.328
441.0,0.325
442.0,0.321
443.0,0.318
444.0,0.315
445.0,0.311
446.0,0.308
447.0,0.306
448.0,0.303
449.0,0.300
450.0,0.298
451.0,0.295
452.0,0.293
453.0,0.290
454.0,0.288
455.0,0.286
456.0,0.284
457.0,0.282
458.0,0.279
459.0,0.277
460.0,0.275
461.0,0.273
462.0,0.270
463.0,0.269
464.0,0.267
465.0,0.265
466.0,0.262
467.0,0.260
468.0,0.258
469.0,0.256
470.0,0.254
471.0,0.252
472.0,0.250
473.0,0.247
474.0,0.245
475.0,0.242
476.0,0.240
477.0,0.238
478.0,0.235
479.0,0.233
480.0,0.230
481.0,0.228
482.0,0.225
483.0,0.223
484.0,0.220
485.0,0.218
486.0,0.216
487.0,0.213
488.0,0.210
489.0,0.208
490.0,0.206
491.0,0.204
492.0,0.201
493.0,0.199
494.0,0.197
495.0,0.194
496.0,0.192
497.0,0.190
498.0,0.188
499.0,0.186
500.0,0.184
501.0,0.182
502.0,0.180
503.0,0.178
504.0,0.176
505.0,0.174
506.0,0.172
507.0,0.170
508.0,0.169
509.0,0.167
510.0,0.165
511.0,0.163
512.0,0.162
513.0,0.160
514.0,0.158
515.0,0.157
516.0,0.155
517.0,0.153
518.0,0.152
519.0,0.150
520.0,0.149
521.0,0.147
522.0,0.145
523.0,0.144
524.0,0.142
525.0,0.141
526.0,0.139
527.0,0.138
528.0,0.136
529.0,0.135
530.0,0.133
531.0,0.132
532.0,0.130
533.0,0.129
534.0,0.127
535.0,0.126
536.0,0.125
537.0,0.123
538.0,0.122
539.0,0.120
540.0,0.119
541.0,0.118
542.0,0.117
543.0,0.115
544.0,0.114
545.0,0.113
546.0,0.111
547.0,0.110
548.0,0.109
549.0,0.108
550.0,0.107
551.0,0.106
552.0,0.104
553.0,0.103
554.0,0.102
555.0,0.101
556.0,0.100
557.0,0.099
558.0,0.098
559.0,0.097
560.0,0.096
561.0,0.095
562.0,0.094
563.0,0.093
564.0,0.092
565.0,0.091
566.0,0.090
567.0,0.089
568.0,0.088
569.0,0.087
570.0,0.086
571.0,0.085
572.0,0.085
573.0,0.084
574.0,0.083
575.0,0.082
576.0,0.081
577.0,0.080
578.0,0.080
579.0,0.079
580.0,0.078
581.0,0.077
582.0,0.076
583.0,0.076
584.0,0.075
585.0,0.074
586.0,0.073
587.0,0.073
588.0,0.072
589.0,0.071
590.0,0.071
591.0,0.070
592.0,0.069
593.0,0.069
594.0,0.068
595.0,0.067
596.0,0.067
597.0,0.066
598.0,0.065
599.0,0.065
600.0,0.064
601.0,0.063
602.0,0.063
603.0,0.062
604.0,0.061
605.0,0.061
606.0,0.060
607.0,0.060
608.0,0.059
609.0,0.059
610.0,0.058
611.0,0.057
612.0,0.057
613.0,0.056
614.0,0.056
615.0,0.055
616.0,0.055
617.0,0.054
618.0,0.053
619.0,0.053
620.0,0.052
621.0,0.052
622.0,0.051
623.0,0.051
624.0,0.050
625.0,0.050
626.0,0.049
627.0,0.049
628.0,0.048
629.0,0.048
630.0,0.047
631.0,0.047
632.0,0.046
633.0,0.046
634.0,0.045
635.0,0.045
636.0,0.045
637.0,0.044
638.0,0.044
639.0,0.043
640.0,0.043
641.0,0.042
642.0,0.042
643.0,0.042
644.0,0.041
645.0,0.041
646.0,0.040
647.0,0.040
648.0,0.039
649.0,0.039
650.0,0.039
651.0,0.038
652.0,0.038
653.0,0.037
654.0,0.037
655.0,0.037
656.0,0.036
657.0,0.036
658.0,0.035
659.0,0.035
660.0,0.035
661.0,0.034
662.0,0.034
663.0,0.034
664.0,0.033
665.0,0.033
666.0,0.033
667.0,0.032
668.0,0.032
669.0,0.032
670.0,0.031
671.0,0.031
672.0,0.031
673.0,0.030
674.0,0.030
675.0,0.030
676.0,0.030
677.0,0.029
678.0,0.029
679.0,0.029
680.0,0.028
681.0,0.028
682.0,0.028
683.0,0.028
684.0,0.027
685.0,0.027
686.0,0.027
687.0,0.027
688.0,0.026
689.0,0.026
690.0,0.026
691.0,0.025
692.0,0.025
693.0,0.025
694.0,0.025
695.0,0.024
696.0,0.024
697.0,0.024
698.0,0.024
699.0,0.023
700.0,0.023
701.0,0.023
702.0,0.023
703.0,0.022
704.0,0.022
705.0,0.022
706.0,0.022
707.0,0.021
708.0,0.021
709.0,0.021
710.0,0.021
711.0,0.021
712.0,0.020
713.0,0.020
714.0,0.020
715.0,0.020
716.0,0.020
717.0,0.019
718.0,0.019
719.0,0.019
720.0,0.019
721.0,0.018
722.0,0.018
723.0,0.018
724.0,0.018
725.0,0.018
726.0,0.018
727.0,0.017
728.0,0.017
729.0,0.017
730.0,0.017
731.0,0.017
732.0,0.016
