Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,POV_P1_
Sample ID
Option
Analyst
Date/Time:,04/26/2023 01:10:45 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,1.183
201.0,1.180
202.0,1.191
203.0,1.202
204.0,1.216
205.0,1.226
206.0,1.239
207.0,1.239
208.0,1.243
209.0,1.240
210.0,1.272
211.0,1.281
212.0,1.289
213.0,1.312
214.0,1.299
215.0,1.333
216.0,1.340
217.0,1.338
218.0,1.345
219.0,1.378
220.0,1.424
221.0,1.413
222.0,1.489
223.0,1.632
224.0,1.962
225.0,2.345
226.0,2.767
227.0,3.154
228.0,3.455
229.0,3.727
230.0,3.947
231.0,4.159
232.0,4.296
233.0,4.448
234.0,4.553
235.0,4.659
236.0,4.752
237.0,4.916
238.0,4.784
239.0,4.982
240.0,5.051
241.0,4.965
242.0,4.997
243.0,5.123
244.0,5.183
245.0,5.116
246.0,5.022
247.0,5.102
248.0,5.254
249.0,5.074
250.0,5.203
251.0,5.092
252.0,5.108
253.0,5.126
254.0,4.988
255.0,5.171
256.0,5.131
257.0,5.174
258.0,5.188
259.0,5.184
260.0,5.142
261.0,5.176
262.0,5.086
263.0,5.058
264.0,5.205
265.0,5.108
266.0,5.132
267.0,5.114
268.0,5.116
269.0,5.185
270.0,5.116
271.0,5.168
272.0,5.158
273.0,5.159
274.0,5.125
275.0,5.126
276.0,5.173
277.0,5.100
278.0,5.050
279.0,5.171
280.0,5.321
281.0,5.103
282.0,5.157
283.0,5.100
284.0,5.056
285.0,5.051
286.0,5.088
287.0,5.029
288.0,4.995
289.0,5.049
290.0,4.987
291.0,5.015
292.0,4.929
293.0,5.015
294.0,4.914
295.0,5.017
296.0,5.131
297.0,4.917
298.0,4.885
299.0,4.904
300.0,4.949
301.0,5.015
302.0,4.952
303.0,5.018
304.0,4.931
305.0,4.950
306.0,10.000
307.0,10.000
308.0,10.000
309.0,5.870
310.0,10.000
311.0,10.000
312.0,6.215
313.0,10.000
314.0,10.000
315.0,10.000
316.0,6.033
317.0,10.000
318.0,5.765
319.0,10.000
320.0,10.000
321.0,10.000
322.0,10.000
323.0,10.000
324.0,10.000
325.0,5.550
326.0,10.000
327.0,5.838
328.0,6.197
329.0,6.141
330.0,6.491
331.0,6.590
332.0,5.990
333.0,6.205
334.0,10.000
335.0,5.537
336.0,10.000
337.0,5.691
338.0,10.000
339.0,10.000
340.0,5.626
341.0,10.000
342.0,10.000
343.0,5.668
344.0,5.764
345.0,10.000
346.0,10.000
347.0,6.252
348.0,5.809
349.0,6.066
350.0,10.000
351.0,10.000
352.0,6.103
353.0,6.325
354.0,10.000
355.0,6.305
356.0,5.977
357.0,10.000
358.0,10.000
359.0,10.000
360.0,10.000
361.0,6.805
362.0,10.000
363.0,5.679
364.0,6.286
365.0,6.803
366.0,10.000
367.0,6.304
368.0,5.767
369.0,10.000
370.0,5.711
371.0,6.445
372.0,5.721
373.0,5.383
374.0,5.272
375.0,5.266
376.0,5.085
377.0,4.939
378.0,5.016
379.0,4.825
380.0,4.630
381.0,4.640
382.0,4.500
383.0,4.345
384.0,4.308
385.0,4.214
386.0,4.102
387.0,4.015
388.0,3.925
389.0,3.847
390.0,3.758
391.0,3.688
392.0,3.614
393.0,3.541
394.0,3.482
395.0,3.414
396.0,3.351
397.0,3.292
398.0,3.235
399.0,3.176
400.0,3.123
401.0,3.071
402.0,3.018
403.0,2.966
404.0,2.918
405.0,2.871
406.0,2.825
407.0,2.779
408.0,2.735
409.0,2.689
410.0,2.645
411.0,2.601
412.0,2.560
413.0,2.518
414.0,2.477
415.0,2.437
416.0,2.397
417.0,2.358
418.0,2.319
419.0,2.280
420.0,2.243
421.0,2.207
422.0,2.170
423.0,2.135
424.0,2.100
425.0,2.063
426.0,2.026
427.0,1.991
428.0,1.956
429.0,1.921
430.0,1.888
431.0,1.856
432.0,1.824
433.0,1.793
434.0,1.762
435.0,1.734
436.0,1.706
437.0,1.680
438.0,1.655
439.0,1.632
440.0,1.609
441.0,1.588
442.0,1.569
443.0,1.551
444.0,1.533
445.0,1.517
446.0,1.501
447.0,1.486
448.0,1.473
449.0,1.459
450.0,1.447
451.0,1.435
452.0,1.425
453.0,1.414
454.0,1.404
455.0,1.394
456.0,1.384
457.0,1.375
458.0,1.366
459.0,1.356
460.0,1.347
461.0,1.338
462.0,1.328
463.0,1.318
464.0,1.308
465.0,1.298
466.0,1.288
467.0,1.277
468.0,1.266
469.0,1.256
470.0,1.244
471.0,1.232
472.0,1.220
473.0,1.207
474.0,1.195
475.0,1.181
476.0,1.168
477.0,1.154
478.0,1.141
479.0,1.126
480.0,1.112
481.0,1.097
482.0,1.083
483.0,1.068
484.0,1.053
485.0,1.038
486.0,1.024
487.0,1.009
488.0,0.995
489.0,0.981
490.0,0.966
491.0,0.952
492.0,0.938
493.0,0.924
494.0,0.910
495.0,0.897
496.0,0.884
497.0,0.871
498.0,0.858
499.0,0.846
500.0,0.834
501.0,0.822
502.0,0.811
503.0,0.799
504.0,0.788
505.0,0.778
506.0,0.767
507.0,0.757
508.0,0.747
509.0,0.737
510.0,0.727
511.0,0.718
512.0,0.709
513.0,0.700
514.0,0.691
515.0,0.683
516.0,0.674
517.0,0.665
518.0,0.657
519.0,0.648
520.0,0.640
521.0,0.632
522.0,0.623
523.0,0.615
524.0,0.607
525.0,0.599
526.0,0.591
527.0,0.584
528.0,0.576
529.0,0.568
530.0,0.561
531.0,0.554
532.0,0.547
533.0,0.540
534.0,0.533
535.0,0.526
536.0,0.519
537.0,0.511
538.0,0.505
539.0,0.498
540.0,0.492
541.0,0.486
542.0,0.479
543.0,0.473
544.0,0.467
545.0,0.461
546.0,0.455
547.0,0.449
548.0,0.443
549.0,0.438
550.0,0.432
551.0,0.427
552.0,0.421
553.0,0.416
554.0,0.411
555.0,0.406
556.0,0.401
557.0,0.396
558.0,0.392
559.0,0.387
560.0,0.383
561.0,0.379
562.0,0.374
563.0,0.370
564.0,0.366
565.0,0.361
566.0,0.357
567.0,0.353
568.0,0.349
569.0,0.345
570.0,0.341
571.0,0.337
572.0,0.333
573.0,0.330
574.0,0.326
575.0,0.323
576.0,0.319
577.0,0.316
578.0,0.313
579.0,0.309
580.0,0.306
581.0,0.303
582.0,0.300
583.0,0.296
584.0,0.293
585.0,0.290
586.0,0.287
587.0,0.285
588.0,0.282
589.0,0.279
590.0,0.276
591.0,0.273
592.0,0.270
593.0,0.267
594.0,0.265
595.0,0.262
596.0,0.259
597.0,0.257
598.0,0.254
599.0,0.252
600.0,0.249
601.0,0.247
602.0,0.244
603.0,0.242
604.0,0.239
605.0,0.237
606.0,0.235
607.0,0.233
608.0,0.230
609.0,0.228
610.0,0.226
611.0,0.224
612.0,0.221
613.0,0.219
614.0,0.217
615.0,0.215
616.0,0.213
617.0,0.211
618.0,0.209
619.0,0.207
620.0,0.205
621.0,0.203
622.0,0.201
623.0,0.199
624.0,0.197
625.0,0.195
626.0,0.193
627.0,0.192
628.0,0.190
629.0,0.188
630.0,0.186
631.0,0.184
632.0,0.183
633.0,0.181
634.0,0.179
635.0,0.177
636.0,0.176
637.0,0.174
638.0,0.172
639.0,0.171
640.0,0.169
641.0,0.168
642.0,0.166
643.0,0.165
644.0,0.163
645.0,0.161
646.0,0.160
647.0,0.159
648.0,0.157
649.0,0.156
650.0,0.154
651.0,0.153
652.0,0.152
653.0,0.150
654.0,0.149
655.0,0.147
656.0,0.146
657.0,0.145
658.0,0.143
659.0,0.142
660.0,0.141
661.0,0.139
662.0,0.138
663.0,0.137
664.0,0.136
665.0,0.134
666.0,0.133
667.0,0.132
668.0,0.131
669.0,0.130
670.0,0.128
671.0,0.127
672.0,0.126
673.0,0.125
674.0,0.124
675.0,0.123
676.0,0.122
677.0,0.121
678.0,0.120
679.0,0.118
680.0,0.117
681.0,0.116
682.0,0.115
683.0,0.114
684.0,0.113
685.0,0.112
686.0,0.111
687.0,0.110
688.0,0.109
689.0,0.108
690.0,0.108
691.0,0.106
692.0,0.106
693.0,0.105
694.0,0.104
695.0,0.103
696.0,0.102
697.0,0.101
698.0,0.100
699.0,0.099
700.0,0.098
701.0,0.098
702.0,0.097
703.0,0.096
704.0,0.095
705.0,0.094
706.0,0.093
707.0,0.093
708.0,0.092
709.0,0.091
710.0,0.090
711.0,0.090
712.0,0.089
713.0,0.088
714.0,0.087
715.0,0.087
716.0,0.086
717.0,0.085
718.0,0.084
719.0,0.084
720.0,0.083
721.0,0.082
722.0,0.082
723.0,0.081
724.0,0.080
725.0,0.079
726.0,0.079
727.0,0.078
728.0,0.077
729.0,0.077
730.0,0.076
731.0,0.076
732.0,0.075
733.0,0.075
734.0,0.074
735.0,0.074
736.0,0.073
737.0,0.072
738.0,0.072
739.0,0.071
740.0,0.071
741.0,0.070
742.0,0.069
743.0,0.069
744.0,0.068
745.0,0.068
746.0,0.067
747.0,0.067
748.0,0.066
749.0,0.066
750.0,0.065
751.0,0.065
752.0,0.064
753.0,0.064
754.0,0.063
755.0,0.063
756.0,0.062
757.0,0.062
758.0,0.061
759.0,0.061
760.0,0.061
761.0,0.060
762.0,0.060
763.0,0.059
764.0,0.059
765.0,0.058
766.0,0.058
767.0,0.058
768.0,0.057
769.0,0.057
770.0,0.057
771.0,0.056
772.0,0.056
773.0,0.056
774.0,0.055
775.0,0.055
776.0,0.054
777.0,0.054
778.0,0.054
779.0,0.053
780.0,0.053
781.0,0.053
782.0,0.052
783.0,0.052
784.0,0.052
785.0,0.051
786.0,0.051
787.0,0.051
788.0,0.050
789.0,0.050
790.0,0.050
791.0,0.050
792.0,0.049
793.0,0.049
794.0,0.049
795.0,0.048
796.0,0.048
797.0,0.048
798.0,0.048
799.0,0.047
800.0,0.047
