Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,POV_P1_2_
Sample ID
Option
Analyst
Date/Time:,04/26/2023 01:15:11 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.975
201.0,0.960
202.0,0.959
203.0,0.976
204.0,0.992
205.0,0.995
206.0,1.006
207.0,1.027
208.0,1.018
209.0,1.036
210.0,1.058
211.0,1.032
212.0,1.070
213.0,1.071
214.0,1.075
215.0,1.125
216.0,1.108
217.0,1.123
218.0,1.133
219.0,1.163
220.0,1.171
221.0,1.210
222.0,1.282
223.0,1.428
224.0,1.758
225.0,2.159
226.0,2.565
227.0,2.916
228.0,3.239
229.0,3.499
230.0,3.741
231.0,3.937
232.0,4.107
233.0,4.214
234.0,4.343
235.0,4.438
236.0,4.517
237.0,4.663
238.0,4.650
239.0,4.714
240.0,4.736
241.0,4.772
242.0,4.829
243.0,4.860
244.0,4.838
245.0,4.862
246.0,4.969
247.0,4.924
248.0,4.990
249.0,4.978
250.0,4.990
251.0,4.950
252.0,4.889
253.0,4.903
254.0,4.923
255.0,4.953
256.0,4.911
257.0,5.019
258.0,4.918
259.0,4.969
260.0,4.903
261.0,4.886
262.0,5.009
263.0,4.998
264.0,4.916
265.0,4.831
266.0,4.868
267.0,4.832
268.0,4.873
269.0,4.920
270.0,4.907
271.0,4.893
272.0,4.942
273.0,4.902
274.0,4.906
275.0,4.836
276.0,4.877
277.0,4.800
278.0,4.791
279.0,4.772
280.0,4.795
281.0,4.794
282.0,4.843
283.0,4.724
284.0,4.738
285.0,4.712
286.0,4.741
287.0,4.693
288.0,4.635
289.0,4.622
290.0,4.609
291.0,4.567
292.0,4.585
293.0,4.588
294.0,4.563
295.0,4.510
296.0,4.456
297.0,4.497
298.0,4.455
299.0,4.377
300.0,4.388
301.0,4.328
302.0,4.305
303.0,4.261
304.0,4.249
305.0,4.234
306.0,4.307
307.0,4.265
308.0,4.211
309.0,4.173
310.0,4.121
311.0,4.090
312.0,4.038
313.0,3.987
314.0,3.943
315.0,3.899
316.0,3.859
317.0,3.798
318.0,3.756
319.0,3.719
320.0,3.666
321.0,3.621
322.0,3.578
323.0,3.533
324.0,3.497
325.0,3.457
326.0,3.418
327.0,3.373
328.0,3.342
329.0,3.306
330.0,3.274
331.0,3.237
332.0,3.205
333.0,3.170
334.0,3.137
335.0,3.104
336.0,3.069
337.0,3.039
338.0,3.008
339.0,2.980
340.0,2.947
341.0,2.916
342.0,2.885
343.0,2.856
344.0,2.828
345.0,2.797
346.0,2.769
347.0,2.741
348.0,2.712
349.0,2.684
350.0,2.653
351.0,2.623
352.0,2.591
353.0,2.564
354.0,2.530
355.0,2.498
356.0,2.464
357.0,2.430
358.0,2.396
359.0,2.360
360.0,2.326
361.0,2.288
362.0,2.251
363.0,2.213
364.0,2.173
365.0,2.133
366.0,2.094
367.0,2.053
368.0,2.013
369.0,1.972
370.0,1.930
371.0,1.892
372.0,1.850
373.0,1.805
374.0,1.766
375.0,1.727
376.0,1.690
377.0,1.654
378.0,1.617
379.0,1.579
380.0,1.542
381.0,1.506
382.0,1.471
383.0,1.437
384.0,1.405
385.0,1.374
386.0,1.343
387.0,1.313
388.0,1.284
389.0,1.257
390.0,1.230
391.0,1.205
392.0,1.181
393.0,1.158
394.0,1.137
395.0,1.116
396.0,1.095
397.0,1.076
398.0,1.056
399.0,1.038
400.0,1.020
401.0,1.002
402.0,0.985
403.0,0.969
404.0,0.952
405.0,0.937
406.0,0.921
407.0,0.907
408.0,0.892
409.0,0.878
410.0,0.863
411.0,0.849
412.0,0.835
413.0,0.821
414.0,0.808
415.0,0.795
416.0,0.782
417.0,0.770
418.0,0.757
419.0,0.744
420.0,0.732
421.0,0.720
422.0,0.708
423.0,0.696
424.0,0.685
425.0,0.672
426.0,0.661
427.0,0.649
428.0,0.637
429.0,0.626
430.0,0.615
431.0,0.605
432.0,0.594
433.0,0.584
434.0,0.574
435.0,0.565
436.0,0.556
437.0,0.547
438.0,0.539
439.0,0.531
440.0,0.524
441.0,0.517
442.0,0.511
443.0,0.505
444.0,0.499
445.0,0.493
446.0,0.488
447.0,0.484
448.0,0.479
449.0,0.475
450.0,0.471
451.0,0.467
452.0,0.463
453.0,0.460
454.0,0.456
455.0,0.453
456.0,0.450
457.0,0.447
458.0,0.444
459.0,0.441
460.0,0.438
461.0,0.435
462.0,0.431
463.0,0.428
464.0,0.425
465.0,0.422
466.0,0.418
467.0,0.415
468.0,0.411
469.0,0.408
470.0,0.404
471.0,0.400
472.0,0.396
473.0,0.392
474.0,0.387
475.0,0.383
476.0,0.379
477.0,0.374
478.0,0.370
479.0,0.365
480.0,0.360
481.0,0.355
482.0,0.351
483.0,0.346
484.0,0.341
485.0,0.336
486.0,0.331
487.0,0.327
488.0,0.322
489.0,0.317
490.0,0.312
491.0,0.308
492.0,0.303
493.0,0.298
494.0,0.294
495.0,0.290
496.0,0.285
497.0,0.281
498.0,0.277
499.0,0.273
500.0,0.269
501.0,0.265
502.0,0.261
503.0,0.258
504.0,0.254
505.0,0.250
506.0,0.247
507.0,0.244
508.0,0.240
509.0,0.237
510.0,0.234
511.0,0.231
512.0,0.228
513.0,0.225
514.0,0.222
515.0,0.219
516.0,0.216
517.0,0.214
518.0,0.211
519.0,0.208
520.0,0.205
521.0,0.203
522.0,0.200
523.0,0.197
524.0,0.195
525.0,0.192
526.0,0.190
